duel.wins, "Иииииииии {{winner}} сделал хэдшот в сторону {{loser}}, тот бездыханно падает на землю."
duel.wins, "{{winner}} со всей своей жестокостью убивает {{loser}} из пистолета! Прямо как Пушкин с Дантесом =)"
duel.wins, "Какая досада... {{winner}} кажется ты и следа не оставил от {{loser}}!"
duel.wins, "{{winner}} нанес смертельный прием {{loser}} и тот умирает! Печально..."
duel.wins, "{{winner}}, ты победил в дуэли! {{loser}} так и истекает кровью..."
duel.wins, "Это была эпичная дуэль и {{winner}} победил. Досадно, что {{loser}} умер от рук его дуэлянта..."
duel.wins, "У дуэлянтов были шпаги. {{winner}} молнеиносно всадил свою шпагу в печень {{loser}}! Нож в печень - никто не вечен."
duel.wins, "{{winner}} убил {{loser}}!"
duel.noUser, "Не могу найти дуэлянта по твоим координатам. Попробуй упомянуть кого-нибудь другого."
duel.noDuel, "Похоже, что ты никого не вызывал на дуэль."
